pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b,null_label,iteration
native_combined_random_split_perm024,iqr_diagonal_laplace,native_combined_random_split_perm024_A,native_combined_random_split_perm024_B,-755.4718336298033,-755.3176971238612,-0.15413650594211958,0.15413650594211958,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,24
native_combined_random_split_perm025,full_covariance_laplace,native_combined_random_split_perm025_A,native_combined_random_split_perm025_B,-754.0009295568466,-754.452579367171,0.45164981032439755,0.45164981032439755,729.84925,729.9268,0.0775499999999738,native_combined_random_split,25
native_combined_random_split_perm025,diagonal_covariance_laplace,native_combined_random_split_perm025_A,native_combined_random_split_perm025_B,-753.9981210350005,-754.4521417028262,0.4540206678257164,0.4540206678257164,729.84925,729.9268,0.0775499999999738,native_combined_random_split,25
native_combined_random_split_perm025,iqr_diagonal_laplace,native_combined_random_split_perm025_A,native_combined_random_split_perm025_B,-755.3646250361284,-755.425145740525,0.06052070439659474,0.06052070439659474,729.84925,729.9268,0.0775499999999738,native_combined_random_split,25
native_combined_random_split_perm026,full_covariance_laplace,native_combined_random_split_perm026_A,native_combined_random_split_perm026_B,-754.1451687414017,-754.2344821632199,0.08931342181824675,0.08931342181824675,729.84925,729.9268,0.0775499999999738,native_combined_random_split,26
native_combined_random_split_perm026,diagonal_covariance_laplace,native_combined_random_split_perm026_A,native_combined_random_split_perm026_B,-754.1424848338121,-754.2342335237345,0.09174868992238316,0.09174868992238316,729.84925,729.9268,0.0775499999999738,native_combined_random_split,26
native_combined_random_split_perm026,iqr_diagonal_laplace,native_combined_random_split_perm026_A,native_combined_random_split_perm026_B,-755.3365500542325,-755.4654988510016,0.12894879676912296,0.12894879676912296,729.84925,729.9268,0.0775499999999738,native_combined_random_split,26
native_combined_random_split_perm027,full_covariance_laplace,native_combined_random_split_perm027_A,native_combined_random_split_perm027_B,-754.1600021908765,-754.2089672591454,0.048965068268898904,0.048965068268898904,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,27
native_combined_random_split_perm027,diagonal_covariance_laplace,native_combined_random_split_perm027_A,native_combined_random_split_perm027_B,-754.1594998261286,-754.2059634833361,0.046463657207482356,0.046463657207482356,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,27
native_combined_random_split_perm027,iqr_diagonal_laplace,native_combined_random_split_perm027_A,native_combined_random_split_perm027_B,-755.3891295029023,-755.3891035188012,-2.5984101057474618e-05,2.5984101057474618e-05,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,27
native_combined_random_split_perm028,full_covariance_laplace,native_combined_random_split_perm028_A,native_combined_random_split_perm028_B,-754.2380530291375,-754.1545507403212,-0.08350228881636212,0.08350228881636212,729.84925,729.9268,0.0775499999999738,native_combined_random_split,28
native_combined_random_split_perm028,diagonal_covariance_laplace,native_combined_random_split_perm028_A,native_combined_random_split_perm028_B,-754.2370882952939,-754.1535284260732,-0.08355986922072134,0.08355986922072134,729.84925,729.9268,0.0775499999999738,native_combined_random_split,28
native_combined_random_split_perm028,iqr_diagonal_laplace,native_combined_random_split_perm028_A,native_combined_random_split_perm028_B,-755.3894956965219,-755.3896892820359,0.00019358551401182922,0.00019358551401182922,729.84925,729.9268,0.0775499999999738,native_combined_random_split,28
native_combined_random_split_perm029,full_covariance_laplace,native_combined_random_split_perm029_A,native_combined_random_split_perm029_B,-754.4402172047122,-754.0096853489302,-0.4305318557819646,0.4305318557819646,729.84925,729.91096,0.06171000000006188,native_combined_random_split,29
native_combined_random_split_perm029,diagonal_covariance_laplace,native_combined_random_split_perm029_A,native_combined_random_split_perm029_B,-754.4396566226517,-754.006767304657,-0.43288931799463626,0.43288931799463626,729.84925,729.91096,0.06171000000006188,native_combined_random_split,29
